rainfall_mm,soil_moisture,slope_angle,vegetation_density,distance_to_river_km,population_density,altitude_m,season,hour,day_night,previous_landslides,infrastructure_quality,landslide_type,fatality_level,rescue_response_level
289.73713224089863,0.2339860658072558,31.907909229501364,0.3795241427117362,1.1119938033674177,62.83406391411077,1314.3990634989937,Winter,5,Night,Yes,Medium,No Landslide,Low,Local
238.93885590630524,0.1836542722675202,27.47843594409417,0.4487238239317214,1.9112109539649484,504.206965292788,350.11350915984724,Monsoon,10,Day,No,High,No Landslide,Low,Local
301.8150830480554,0.6091441996349094,38.1917451041918,0.6717959457020113,0.1701899030742044,329.52799406208686,921.7471178248834,Summer,23,Night,No,High,Rockfall,Moderate,Regional
371.84238851264206,0.665180581189521,48.40450446023144,0.2437953895536161,0.1837662393060301,222.3500859507,688.5738854855538,Monsoon,2,Night,No,Low,Mudslide,Moderate,District
231.26773002213312,0.1252689158605136,16.248275303542556,0.34735485776574,0.377072360106581,315.7127918990941,682.7169702222453,Summer,19,Night,No,Low,No Landslide,Low,Local
231.26904344406557,0.8489697969949519,36.150260791474174,0.7663165482041734,1.459943924349577,317.61898225026926,676.0455743492245,Summer,9,Day,No,Medium,Rockfall,Low,Local
376.3370252405913,0.1415770269211779,33.398672044333594,0.3028453465086395,0.4815834329438416,233.31512830484365,618.2460658384053,Monsoon,0,Night,No,Low,No Landslide,Low,Local
311.3947783322327,0.5330370682408564,41.713400764504655,0.439851602565765,0.6661523493254228,319.7916667342075,1136.9049669206904,Monsoon,19,Night,No,Medium,Rockfall,Moderate,Regional
212.44204912520385,0.6672484155607331,37.131966282376894,0.805261245300698,1.022694306721135,239.25277123796928,968.4594654027806,Winter,10,Day,No,Medium,Rockfall,Low,Local
293.4048034868772,0.7967752989968685,27.48030668261181,0.3084477178004098,3.341202926503655,259.56380073099774,804.6391957114749,Monsoon,11,Day,No,Medium,Rockfall,Low,Local
212.926584575003,0.6712695457059422,31.809460643333814,0.2579157849327329,0.0279182251284752,231.3720864244916,1070.2031504974002,Monsoon,13,Day,No,High,Rockfall,Moderate,Regional
212.74161971437945,0.7413824664558335,27.039741431965112,0.5391765965560076,2.096097796540102,156.73287102603473,497.4942069402249,Monsoon,7,Day,No,High,Rockfall,Low,Local
269.3569817252827,0.3715601540342449,45.76007138598598,0.4116936578949755,2.210527910310044,314.5836470215384,533.8589737338148,Summer,10,Day,Yes,Low,Rockfall,Low,Local
96.93758042737616,0.7518600909972099,35.21311648671942,0.5943858551386978,3.2054786002018223,358.5299436516338,364.4064535610625,Summer,3,Night,No,Medium,Rockfall,Moderate,Regional
112.0065733989574,0.1640918771077401,54.01190685753008,0.7626634233384326,5.398763929908591,351.4883596076372,660.1170919753425,Summer,6,Day,No,Medium,No Landslide,Low,Local
205.01699766072215,0.8158533248484221,34.39339186185379,0.2960039417069202,0.0406867588090528,381.9925252635234,832.3397053409506,Winter,9,Day,No,Low,Rockfall,Moderate,Regional
168.97351037324609,0.538073900922989,27.915932330895373,0.6064893591879994,0.3339605696223046,332.4340210014868,820.5717155864668,Winter,18,Day,No,Low,Rockfall,Low,Local
275.1397866076219,0.753838215969995,19.86285607387173,0.5538561322729048,4.346121080061502,246.72745017830965,829.868382211976,Winter,3,Night,Yes,Medium,Rockfall,Moderate,Regional
177.35807395830312,0.4618546276146401,16.96860323744055,0.3008551502092397,1.2268929846580694,383.9663864431189,517.7886337867836,Summer,1,Night,Yes,Low,No Landslide,Low,Local
137.0157038931767,0.61486215615722,19.158640569945103,0.6367989398702877,1.6629372609793338,164.2482460158065,960.6309485228044,Monsoon,20,Night,Yes,Low,No Landslide,Low,Local
367.2519015137243,0.5211221287488906,37.67126651011483,0.3915482925025401,2.175506150204313,209.932861748752,847.9255036477996,Winter,17,Day,Yes,Medium,Rockfall,Low,Local
231.93789596107715,0.6852716174042655,40.08725023229934,0.5414840229808087,2.2730433360437945,203.57999285767556,946.6108562931996,Winter,13,Day,No,Medium,Rockfall,Low,Local
255.40225637503391,0.1653039856244716,19.188092979678665,0.2575906269939433,5.3688744881094,408.0056059139311,421.4475644819896,Summer,15,Day,No,Low,No Landslide,Low,Local
136.02014510292346,0.148281667192451,43.950383140761154,0.5217088400495361,10.0,394.2788514140076,862.2981717595579,Winter,21,Night,No,Low,No Landslide,Low,Local
206.4493820379854,0.2976825872081171,30.16938948316561,0.4145244276299742,2.547056388928972,348.7305237044995,562.4469520164946,Monsoon,10,Day,No,High,No Landslide,Low,Local
